Installation Postcode,Count - Technology
AB10 ,28
AB11 ,6
AB12 ,69
AB13 ,5
AB14 ,16
AB15 ,100
AB16 ,44
AB21 ,106
AB22 ,36
AB23 ,42
AB24 ,19
AB25 ,9
AB30 ,68
AB31 ,119
AB32 ,67
AB33 ,61
AB34 ,49
AB35 ,15
AB36 ,2
AB37 ,11
AB38 ,39
AB39 ,77
AB41 ,120
AB42 ,159
AB43 ,175
AB44 ,10
AB45 ,91
AB51 ,218
AB52 ,31
AB53 ,128
AB54 ,91
AB55 ,44
AB56 ,81
AL1 ,110
AL10 ,280
AL2 ,78
AL3 ,117
AL4 ,188
AL5 ,118
AL6 ,136
AL7 ,254
AL8 ,46
AL9 ,113
B1 ,1
B10 ,107
B11 ,22
B12 ,17
B13 ,64
B14 ,61
B15 ,33
B16 ,11
B17 ,45
B18 ,11
B19 ,39
B20 ,21
B21 ,11
B23 ,24
B24 ,29
B25 ,2
B26 ,18
B27 ,24
B28 ,36
B29 ,55
B30 ,67
B31 ,75
B32 ,243
B33 ,33
B34 ,9
B35 ,3
B36 ,23
B37 ,26
B38 ,72
B42 ,12
B43 ,49
B44 ,10
B45 ,80
B46 ,30
B47 ,37
B48 ,36
B49 ,51
B5 ,6
B50 ,26
B6 ,54
B60 ,125
B61 ,96
B62 ,62
B63 ,82
B64 ,19
B65 ,23
B66 ,23
B67 ,15
B68 ,23
B69 ,122
B7 ,33
B70 ,25
B71 ,23
B72 ,28
B73 ,44
B74 ,99
B75 ,97
B76 ,79
B77 ,145
B78 ,71
B79 ,84
B8 ,18
B80 ,35
B9 ,211
B90 ,144
B91 ,121
B92 ,96
B93 ,169
B94 ,52
B95 ,45
B96 ,47
B97 ,156
B98 ,149
BA1 ,191
BA10 ,49
BA11 ,336
BA12 ,272
BA13 ,202
BA14 ,423
BA15 ,169
BA16 ,106
BA2 ,456
BA20 ,83
BA21 ,171
BA22 ,240
BA3 ,318
BA4 ,229
BA5 ,237
BA6 ,197
BA7 ,50
BA8 ,74
BA9 ,125
BB1 ,815
BB10 ,101
BB11 ,55
BB12 ,124
BB18 ,69
BB2 ,282
BB3 ,184
BB4 ,296
BB5 ,154
BB6 ,49
BB7 ,253
BB8 ,114
BB9 ,147
BD1 ,1
BD10 ,64
BD11 ,35
BD12 ,52
BD13 ,112
BD14 ,25
BD15 ,24
BD16 ,91
BD17 ,85
BD18 ,45
BD19 ,75
BD2 ,46
BD20 ,195
BD21 ,30
BD22 ,107
BD23 ,200
BD24 ,26
BD3 ,9
BD4 ,73
BD5 ,10
BD6 ,83
BD7 ,19
BD8 ,18
BD9 ,28
BH1 ,30
BH10 ,177
BH11 ,461
BH12 ,631
BH13 ,42
BH14 ,154
BH15 ,428
BH16 ,336
BH17 ,353
BH18 ,168
BH19 ,167
BH2 ,11
BH20 ,234
BH21 ,489
BH22 ,260
BH23 ,436
BH24 ,316
BH25 ,191
BH3 ,28
BH31 ,140
BH4 ,13
BH5 ,24
BH6 ,111
BH7 ,46
BH8 ,194
BH9 ,101
BL0 ,37
BL1 ,105
BL2 ,76
BL3 ,150
BL4 ,76
BL5 ,72
BL6 ,100
BL7 ,57
BL8 ,85
BL9 ,62
BN1 ,191
BN10 ,115
BN11 ,66
BN12 ,126
BN13 ,144
BN14 ,130
BN15 ,123
BN16 ,225
BN17 ,139
BN18 ,79
BN2 ,167
BN20 ,147
BN21 ,77
BN22 ,279
BN23 ,359
BN24 ,85
BN25 ,227
BN26 ,112
BN27 ,234
BN3 ,188
BN41 ,47
BN42 ,45
BN43 ,135
BN44 ,108
BN45 ,5
BN5 ,58
BN6 ,147
BN7 ,210
BN8 ,181
BN9 ,48
BR1 ,81
BR2 ,103
BR3 ,67
BR4 ,29
BR5 ,83
BR6 ,159
BR7 ,26
BR8 ,69
BS1 ,13
BS10 ,131
BS11 ,80
BS13 ,125
BS14 ,277
BS15 ,181
BS16 ,309
BS2 ,51
BS20 ,513
BS21 ,376
BS22 ,625
